date,open,high,low,close,volume
2024-01-02,70000,70048,69886,69917,9403967
2024-01-03,69917,70336,69755,69848,7465325
2024-01-04,69848,69880,69640,69705,10327117
2024-01-05,69705,70324,69499,70293,5970675
2024-01-08,70293,70909,70281,70539,7787353
2024-01-09,70539,71441,70451,71028,8980725
2024-01-10,71028,71880,70921,71811,8496426
2024-01-11,71811,72848,71648,72525,4970959
2024-01-12,72525,72701,70028,70285,9752024
2024-01-15,70285,71230,70047,70884,5995594
2024-01-16,70884,70967,70818,70850,9637272
2024-01-17,70850,71532,70666,71432,8956984
2024-01-18,71432,71637,70801,70934,8998652
2024-01-19,70934,71597,70528,70760,5802250
2024-01-22,70760,71857,70617,71451,9671634
2024-01-23,71451,72740,71044,72713,6935846
2024-01-24,72713,74009,72703,73584,8506474
2024-01-25,73584,73797,73176,73346,12642817
2024-01-26,73346,74112,73181,73932,6336837
2024-01-29,73932,74988,73911,74818,9498605
2024-01-30,74818,74906,73663,74210,5835042
2024-01-31,74210,74333,73393,73745,7963066
2024-02-01,73745,74067,73425,74017,9786710
2024-02-02,74017,74601,73750,74301,8762094
2024-02-05,74301,75445,73721,75436,7282247
2024-02-06,75436,76955,75280,76920,5743104
2024-02-07,76920,77358,76572,76823,9377767
2024-02-08,76823,77041,74509,74675,6900147
2024-02-09,74675,74676,73642,74154,5889798
2024-02-12,74154,74558,73682,73814,7271497
2024-02-13,73814,74308,73749,73941,5580764
2024-02-14,73941,74768,73266,74767,8561681
2024-02-15,74767,76429,74730,76033,8646291
2024-02-16,76033,78190,75732,77668,9182708
2024-02-19,77668,79366,77652,79140,6956700
2024-02-20,79140,79202,77938,77998,12040534
2024-02-21,77998,78098,76983,77469,7209074
2024-02-22,77469,78010,77020,77754,7911703
2024-02-23,77754,77896,76595,76754,8983316
2024-02-26,76754,77102,76124,76151,9399649
2024-02-27,76151,77546,76064,77357,12305590
2024-02-28,77357,77718,77322,77626,10965537
2024-02-29,77626,77941,77255,77779,6974282
2024-03-01,77779,77872,76140,76210,6783979
2024-03-04,76210,77236,75907,77049,9036436
2024-03-05,77049,77506,76771,76910,7909570
2024-03-06,76910,77071,76115,76264,6844925
2024-03-07,76264,76983,76047,76672,8761780
2024-03-08,76672,77412,76101,76717,9390567
2024-03-11,76717,76748,75895,76477,7982853
2024-03-12,76477,78715,76370,78576,7018304
2024-03-13,78576,78596,77880,77968,8404983
2024-03-14,77968,78593,75990,76041,11485811
2024-03-15,76041,76130,74212,75164,6260541
2024-03-18,75164,75328,73717,73857,9386680
2024-03-19,73857,75118,73384,75041,7129940
2024-03-20,75041,76341,74454,76199,7929896
2024-03-21,76199,78178,76028,77519,8618604
2024-03-22,77519,77780,76394,76408,9006395
2024-03-25,76408,77129,76056,76982,6444436
2024-03-26,76982,77180,75253,75956,7333443
2024-03-27,75956,76873,75934,76408,10002567
2024-03-28,76408,76636,75879,76084,11054671
2024-03-29,76084,77184,75070,77034,7935317
2024-04-01,77034,77746,76966,77650,12632342
2024-04-02,77650,79540,77526,79097,8856673
2024-04-03,79097,80315,78383,79884,4187266
2024-04-04,79884,79917,79750,79860,6460650
2024-04-05,79860,80506,78627,78731,8740107
2024-04-08,78731,79964,78671,79712,10698521
2024-04-09,79712,79923,79459,79625,6830376
2024-04-10,79625,79675,77521,77599,7275468
2024-04-11,77599,77714,76448,76977,8076510
2024-04-12,76977,77159,76529,76550,5470468
2024-04-15,76550,76569,75913,76477,9886947
2024-04-16,76477,77689,76272,77468,5721235
2024-04-17,77468,77931,77231,77801,11998759
2024-04-18,77801,78969,77629,78373,7185176
2024-04-19,78373,78563,78251,78417,3921697
2024-04-22,78417,78659,76967,77370,11806305
2024-04-23,77370,79737,77132,79087,4167419
2024-04-24,79087,80744,78726,80662,12019801
2024-04-25,80662,81945,80567,81330,6537720
2024-04-26,81330,81635,80883,81483,5153427
2024-04-29,81483,82432,81213,81838,8421297
2024-04-30,81838,82307,81626,82081,8194100
2024-05-01,82081,82660,80940,81197,7665786
2024-05-02,81197,81452,80224,80621,7707043
2024-05-03,80621,81170,80422,81110,7768041
2024-05-06,81110,81958,80841,81898,9344768
2024-05-07,81898,82180,81520,81828,6518526
2024-05-08,81828,82111,80891,80906,11140201
2024-05-09,80906,83171,80405,83163,7237092
2024-05-10,83163,83658,83051,83134,8573892
2024-05-13,83134,83390,82470,82721,11573367
2024-05-14,82721,82996,82485,82608,9908687
2024-05-15,82608,82767,81736,81975,9498235
2024-05-16,81975,83581,81604,83397,6414292
2024-05-17,83397,83796,82773,83046,8004195
2024-05-20,83046,83233,81697,81904,6152230
2024-05-21,81904,81985,80622,81312,8721526
2024-05-22,81312,81717,80975,81526,9222880
2024-05-23,81526,81744,80753,80978,4967852
2024-05-24,80978,81182,80676,80699,8422253
2024-05-27,80699,81146,80625,80779,7370015
2024-05-28,80779,81012,79482,79650,10901619
2024-05-29,79650,79658,78960,78979,7824778
2024-05-30,78979,79574,78718,79032,9306411
2024-05-31,79032,80869,78931,80148,7927713
2024-06-03,80148,80824,79593,80201,8971535
2024-06-04,80201,81029,78193,78830,5236462
2024-06-05,78830,80162,78758,79885,5672974
2024-06-06,79885,80870,79464,80515,6013789
2024-06-07,80515,80555,79812,79820,10849380
2024-06-10,79820,80365,79641,79979,6854432
2024-06-11,79979,80843,79941,80719,9739214
2024-06-12,80719,80763,80193,80251,11056362
2024-06-13,80251,80364,79864,80200,9372104
2024-06-14,80200,80310,79073,79679,10086373
2024-06-17,79679,79927,78117,78449,5331058
