date,open,high,low,close,volume
2023-01-02,70600,71200,70200,70800,19503891
2023-01-03,71100,71300,69800,70600,8506552
2023-01-04,70400,71300,69900,70900,17264005
2023-01-05,72100,73200,71700,72400,8110478
2023-01-06,73000,73500,72800,73200,13722107
2023-01-09,70800,71600,70500,71300,18263342
2023-01-10,72100,73400,71100,72000,17384690
2023-01-11,70500,71300,69800,70100,17814986
2023-01-12,69700,70500,68500,70000,11957445
2023-01-13,69200,70100,68700,69700,14202147
2023-01-16,68800,70300,68300,69100,18355227
2023-01-17,69300,70700,68200,69700,14450742
2023-01-18,71600,72500,71200,71500,21191998
2023-01-19,71100,71600,70200,71400,12551594
2023-01-20,72600,73100,71700,72200,14725742
2023-01-23,75800,76500,74300,75300,12192667
2023-01-24,74400,75600,73400,74300,11728452
2023-01-25,74500,75300,72800,74000,8800978
2023-01-26,75800,76500,74100,75400,14487527
2023-01-27,77300,78100,76500,76700,22633254
2023-01-30,79100,79900,77800,78900,18896350
2023-01-31,78600,79800,77800,79100,24214870
2023-02-01,79900,80300,79600,79900,22798815
2023-02-02,78900,80100,78200,79100,10598267
2023-02-03,79600,80400,77900,79300,13510652
2023-02-06,76900,78800,76600,77500,22138313
2023-02-07,77900,79200,76100,77400,16261837
2023-02-08,77300,79000,76900,77900,10182654
2023-02-09,75900,77300,75000,76100,11600569
2023-02-10,76500,77500,75300,76400,13299176
2023-02-13,78400,79300,77100,78500,11819854
2023-02-14,78200,79300,77100,78400,11743695
2023-02-15,79900,81500,79600,80200,9204574
2023-02-16,80800,82100,79600,81100,10249301
2023-02-17,82900,84100,82500,82900,11236968
2023-02-20,81600,82900,80700,82200,15939419
2023-02-21,82500,82800,81000,81900,13768144
2023-02-22,80200,80700,78600,79800,15626430
2023-02-23,78400,80100,77500,78800,22642934
2023-02-24,79400,79600,79100,79300,22212468
2023-02-27,83100,83500,81800,82600,11633704
2023-02-28,81800,82200,80800,82000,24750250
2023-03-01,81700,82400,81500,81700,24922185
2023-03-02,84400,85500,83000,84300,13044033
2023-03-03,86400,87600,84800,86300,17931019
2023-03-06,86000,87300,84700,86000,24333241
2023-03-07,87000,88100,85600,86800,10038072
2023-03-08,87900,88400,86700,87400,18529485
2023-03-09,85600,87100,84300,85600,20175260
2023-03-10,86200,87300,85600,86600,13099950
2023-03-13,85000,86400,84800,85600,24933639
2023-03-14,87400,88500,86200,88000,23865409
